Gender,Race,Age
M,W,1
M,W,1
M,L,2
M,W,2
M,W,1
M,L,1
M,B,3
M,W,1
M,L,2
M,W,2
M,W,2
M,W,3
F,EA,1
F,EA,1
M,W,1
M,A,1
F,L,1
F,W,1
F,W,1
M,L,1
F,L,1
M,W,1
M,W,1
M,L,1
M,A,1
M,W,1
M,W,3
F,W,1
M,W,3
F,EA,1
F,W,3
F,W,3
F,W,3
M,L,1
M,W,1
F,B,1
F,W,1
M,EA,1
F,B,1
F,B,1
F,L,1
F,W,1
F,A,1
F,B,1
M,A,1
M,EA,1
M,L,1
M,W,1
F,L,1
F,A,1
F,A,1
M,W,1
M,A,1
F,W,1
F,W,1
M,L,1
F,EA,2
M,W,3
M,W,1
F,W,1
M,W,2
F,EA,3
F,W,1
M,W,1
F,L,1
M,A,1
M,W,1
F,W,1
F,W,1
F,W,1
F,B,1
F,L,1
F,W,1
F,W,1
M,B,1
M,L,1
M,W,1
M,EA,1
M,W,1
M,W,1
F,W,1
F,W,1
M,W,1
F,W,1
F,W,1
F,W,1
M,A,1
F,B,1
M,A,1
M,W,1
F,W,1
F,W,1
F,EA,1
F,W,1
F,W,1
M,W,1
F,EA,1
M,W,1
M,W,1
M,W,1
F,W,1
F,W,1
F,N,1
F,N,1
M,N,1
F,W,1
F,L,1
M,L,1
F,W,1
F,W,1
F,W,1
F,B,1
M,B,1
F,B,1
F,B,1
F,B,1
M,B,1
F,A,1
M,B,1
M,EA,1
F,W,1
M,EA,1
F,W,1
F,N,1
M,A,1
F,A,1
F,L,1
F,W,1
F,EA,1
M,A,1
M,W,1
F,EA,1
M,EA,1
F,W,1
F,EA,1
M,W,1
M,W,1
F,EA,1
F,W,1
M,W,1
F,W,1
F,A,1
F,W,1
M,W,1
M,W,1
F,W,1
M,W,1
F,W,1
M,W,1
M,W,1
M,W,1
M,W,1
F,W,1
F,W,1
M,W,1
M,EA,1
F,W,1
F,W,1
M,W,1
F,W,1
M,W,1
F,W,1
F,W,1
F,L,1
M,W,1
M,W,1
F,W,1
F,W,1
F,W,1
M,W,1
F,W,1
F,W,1
F,EA,1
F,W,1
M,EA,1
F,EA,1
M,L,1
M,W,1
F,W,1
F,W,1
F,B,1
F,W,1
F,W,1
F,EA,1
M,B,1
M,L,1
F,W,1
M,L,1
F,W,3
F,W,1
F,W,1
M,L,1
F,W,1
F,EA,1
F,L,1
M,L,2
F,L,1
F,EA,1
M,W,1
F,L,1
M,W,2
F,A,1
M,EA,1
M,B,1
F,B,1
M,B,1
F,L,1
F,L,1
F,L,1
F,W,1
F,W,1
M,W,1
F,L,1
F,W,1
F,W,3
M,EA,1
M,B,1
M,L,3
M,L,2
F,W,3
F,EA,2
M,W,2
M,W,2
M,W,2
M,W,2
F,N,2
M,L,1
M,L,1
F,L,1
M,L,2
F,L,2
F,B,2
F,W,1
M,EA,1
F,W,1
F,W,1
M,W,3
M,L,1
M,N,2
F,W,3
M,N,2
F,L,2
F,W,2
M,B,2
F,W,2
M,B,2
F,W,2
F,L,2
M,W,2
F,W,2
M,L,2
F,W,2
F,W,2
F,W,2
F,W,2
F,B,2
F,W,2
M,W,1
F,L,1
M,W,1
M,W,1
M,W,2
F,W,1
M,L,2
F,B,1
F,W,2
M,W,2
F,W,2
M,W,1
M,W,1
F,W,1
F,W,1
M,L,2
M,L,2
F,W,3
F,W,3
M,W,2
M,W,2
F,W,1
F,L,1
M,W,1
F,B,3
M,B,3
M,W,3
M,L,2
M,L,2
M,B,2
M,L,1
F,B,1
F,W,1
F,W,1
F,W,1
F,W,1
F,EA,1
M,W,1
M,W,1
F,W,1
F,W,1
F,W,1
F,W,1
F,W,1
F,EA,1
M,EA,1
F,EA,1
M,L,1
M,W,1
F,W,1
M,EA,2
F,L,1
F,W,1
F,W,1
M,W,1
F,L,1
F,W,1
F,EA,1
M,A,1
M,L,1
F,L,2
F,L,2
F,W,2
M,W,2
F,W,2
M,B,1
F,B,1
M,B,2
F,L,2
M,B,2
F,B,1
M,L,2
M,A,1
M,B,1
F,B,1
F,L,1
M,L,1
M,B,1
M,B,1
M,N,1
M,L,1
F,B,1
F,A,1
F,A,2
M,B,1
F,B,1
F,B,1
M,B,1
F,B,2
M,L,1
M,L,1
F,L,1
M,L,2
M,N,1
M,L,2
M,W,1
F,W,1
F,W,1
